api-1  | {"time":"2026-09-14T03:36:49.109264468Z","level":"INFO","msg":"http request","request_id":"4f710a17-1295-4d51-8da2-f1b705eb4ada","method":"POST","path":"/api/v1/auth/login","status":200,"bytes":271,"duración":"61.027129ms","duración_ms":61,"trace_id":"509a492ae0cb90c9f952f5ac79271a1e"}
api-1  | {"time":"2026-09-14T03:36:49.169909659Z","level":"INFO","msg":"http request","request_id":"506a05ca-a349-48cb-a206-8e80537b5de7","method":"POST","path":"/api/v1/auth/password/forgot","status":202,"bytes":87,"duración":"26.550178ms","duración_ms":26,"trace_id":"48a9d028b867537a14109d6b427ebf28"}
api-1  | {"time":"2026-09-14T03:36:49.219930999Z","level":"INFO","msg":"http request","request_id":"8a77f5af-2f50-4a4a-b3cb-78ad52faa8c1","method":"POST","path":"/api/v1/auth/password/forgot","status":202,"bytes":87,"duración":"2.36438ms","duración_ms":2,"trace_id":"9e589532620436dfd5c2fbb69488c1fb"}
api-1  | {"time":"2026-09-14T03:36:49.424102512Z","level":"INFO","msg":"http request","request_id":"d3fb55b0-5c5a-49ac-b2e1-e0eda1bc3463","method":"POST","path":"/api/v1/auth/password/reset","status":400,"bytes":98,"duración":"55.864296ms","duración_ms":55,"trace_id":"f155687a1dcd7c69bc77d8de930cf396"}
api-1  | {"time":"2026-09-14T03:36:49.459492311Z","level":"INFO","msg":"http request","request_id":"45311cbb-f699-4926-9b5f-37706dfbf02f","method":"POST","path":"/api/v1/auth/password/reset","status":400,"bytes":73,"duración":"578.985µs","duración_ms":0,"trace_id":"93c9b872d07b2fc2b2e6d250f05b4f85"}
api-1  | {"time":"2026-09-14T03:36:49.562722247Z","level":"INFO","msg":"http request","request_id":"9de5ae8b-5212-4fd2-806a-97eb388a7a61","method":"POST","path":"/api/v1/auth/password/reset","status":204,"bytes":0,"duración":"70.611503ms","duración_ms":70,"trace_id":"45d638beb5c5d04a3c18df95b8b99102"}
api-1  | {"time":"2026-09-14T03:36:49.589209635Z","level":"INFO","msg":"http request","request_id":"90387e1a-7269-4533-808e-4f8a8ce39693","method":"GET","path":"/api/v1/auth/sessions","status":401,"bytes":69,"duración":"1.52975ms","duración_ms":1,"trace_id":"aa279e97f448790ecf7de20d35462c93"}
api-1  | {"time":"2026-09-14T03:36:49.684090406Z","level":"INFO","msg":"http request","request_id":"7d608bbf-a10b-41f8-b11a-628cd9df93b9","method":"POST","path":"/api/v1/auth/login","status":401,"bytes":68,"duración":"58.690774ms","duración_ms":58,"trace_id":"76834532c4f6aea3b93cf8e71b9e87ca"}
api-1  | {"time":"2026-09-14T03:36:49.776852432Z","level":"INFO","msg":"http request","request_id":"7a0db67a-d674-4d27-8a6e-870f27deba7b","method":"POST","path":"/api/v1/auth/login","status":200,"bytes":271,"duración":"60.473967ms","duración_ms":60,"trace_id":"876e28add78dc4d978b120e7189590ad"}
api-1  | {"time":"2026-09-14T03:36:49.86987772Z","level":"INFO","msg":"http request","request_id":"e1db2d78-4168-4ad5-9e33-06cdcdc1e456","method":"POST","path":"/api/v1/auth/password/reset","status":400,"bytes":98,"duración":"54.190054ms","duración_ms":54,"trace_id":"f8abf33d85e10a4abe479ef97281c570"}
api-1  | {"time":"2026-09-14T03:36:49.968820774Z","level":"INFO","msg":"http request","request_id":"d4379c3e-729c-4866-817d-bad2488fee6e","method":"POST","path":"/api/v1/auth/login","status":200,"bytes":271,"duración":"60.781639ms","duración_ms":60,"trace_id":"0973caf684e3ace3385094f6d434aa1c"}
api-1  | {"time":"2026-09-14T03:36:49.99684189Z","level":"INFO","msg":"http request","request_id":"0298c7b8-6d49-4495-8e58-a6280604195f","method":"GET","path":"/api/v1/admin/users","status":401,"bytes":69,"duración":"35.038µs","duración_ms":0,"trace_id":"c97d6c5680353b85e973b087d188e5d2"}
api-1  | {"time":"2026-09-14T03:36:50.029504177Z","level":"WARN","msg":"role not permitted for this operation","request_id":"dbdea30d-1ff2-43fa-baf8-0cd073b3276f","user_id":"0ca02617-38d1-4761-8b3d-77767113fe60","role":"estudiante","method":"GET","path":"/api/v1/admin/users"}
api-1  | {"time":"2026-09-14T03:36:50.029610574Z","level":"INFO","msg":"http request","request_id":"dbdea30d-1ff2-43fa-baf8-0cd073b3276f","method":"GET","path":"/api/v1/admin/users","status":403,"bytes":82,"duración":"2.426235ms","duración_ms":2,"trace_id":"e15f2d73a2c214465608df755cd4de43"}
api-1  | {"time":"2026-09-14T03:36:50.070121532Z","level":"WARN","msg":"role not permitted for this operation","request_id":"729a3244-ab4d-4fb9-87b8-761f798adf60","user_id":"0ca02617-38d1-4761-8b3d-77767113fe60","role":"estudiante","method":"PATCH","path":"/api/v1/admin/users/11111111-1111-1111-1111-111111111111/role"}
api-1  | {"time":"2026-09-14T03:36:50.070208641Z","level":"INFO","msg":"http request","request_id":"729a3244-ab4d-4fb9-87b8-761f798adf60","method":"PATCH","path":"/api/v1/admin/users/11111111-1111-1111-1111-111111111111/role","status":403,"bytes":82,"duración":"2.292193ms","duración_ms":2,"trace_id":"b31797d7b2e99ee8b2b1dd6e5b189e2b"}
api-1  | {"Name":"GET /api/v1/health","SpanContext":{"TraceID":"ef3494dfbe41fc87f03808ed589c08ee","SpanID":"de89e670b4cba89c","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:47.694345801Z","EndTime":"2026-09-14T03:36:47.694782732Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"GET"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/health"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"31e408db-6a51-418d-8b35-7a4a90dfb8c7"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":200}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
api-1  | {"Name":"POST /api/v1/auth/register","SpanContext":{"TraceID":"7fd995d464dc241b64f4eadb758309cd","SpanID":"430a1022e119d8ce","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:47.797549902Z","EndTime":"2026-09-14T03:36:47.870728836Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"POST"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/auth/register"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"1933d367-d0c3-4831-ad8a-f0394ec48130"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":201}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
api-1  | {"Name":"POST /api/v1/auth/register","SpanContext":{"TraceID":"e2840cff6809d354e1452e842044b7b2","SpanID":"2702caa3c321602c","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:47.904188972Z","EndTime":"2026-09-14T03:36:47.904750011Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"POST"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/auth/register"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"a52a3b94-19eb-4721-8379-d9f18de4d31f"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":400}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
api-1  | {"Name":"POST /api/v1/auth/register","SpanContext":{"TraceID":"cfd991f80bea22eb9dbdcf4ab4bbdc2f","SpanID":"a0d5967c7a806fab","TraceFlags":"01","TraceState":"","Remote":false},"Parent":{"TraceID":"00000000000000000000000000000000","SpanID":"0000000000000000","TraceFlags":"00","TraceState":"","Remote":false},"SpanKind":1,"StartTime":"2026-09-14T03:36:47.947291774Z","EndTime":"2026-09-14T03:36:48.002977413Z","Attributes":[{"Key":"http.method","Value":{"Type":"STRING","Value":"POST"}},{"Key":"http.path","Value":{"Type":"STRING","Value":"/api/v1/auth/register"}},{"Key":"request_id","Value":{"Type":"STRING","Value":"6b6a87bf-d461-46e8-b0af-23c2de8f487b"}},{"Key":"http.status_code","Value":{"Type":"INT64","Value":409}}],"Events":null,"Links":null,"Status":{"Code":"Unset","Description":""},"DroppedAttributes":0,"DroppedEvents":0,"DroppedLinks":0,"ChildSpanCount":0,"Resource":[{"Key":"deployment.environment.name","Value":{"Type":"STRING","Value":"development"}},{"Key":"service.name","Value":{"Type":"STRING","Value":"plataforma-mooc-api"}},{"Key":"service.version","Value":{"Type":"STRING","Value":"0.1.0"}},{"Key":"telemetry.sdk.language","Value":{"Type":"STRING","Value":"go"}},{"Key":"telemetry.sdk.name","Value":{"Type":"STRING","Value":"opentelemetry"}},{"Key":"telemetry.sdk.version","Value":{"Type":"STRING","Value":"1.38.0"}}],"InstrumentationScope":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null},"InstrumentationLibrary":{"Name":"plataforma-mooc-api","Version":"","SchemaURL":"","Attributes":null}}
