api-1  | {"time":"2026-09-14T03:36:59.301554526Z","level":"INFO","msg":"http request","request_id":"08e9b084-bf52-4f0f-b3d5-6cac95aed720","method":"PUT","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32","status":409,"bytes":116,"duración":"6.509611ms","duración_ms":6,"trace_id":"5f0cba0a31044b52e288683c801e4bf3"}
api-1  | {"time":"2026-09-14T03:36:59.352703734Z","level":"INFO","msg":"http request","request_id":"6050d4fa-934c-49d9-8b5d-5f12966bf6ff","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/modules","status":409,"bytes":128,"duración":"5.250418ms","duración_ms":5,"trace_id":"231b02399393291121f0f79f3dfcf999"}
api-1  | {"time":"2026-09-14T03:36:59.391550612Z","level":"INFO","msg":"http request","request_id":"48969fcd-7166-4283-98c6-e27e6a53ac7f","method":"POST","path":"/api/v1/modules/526f98d3-34d5-4823-bac4-3747d7e5bc10/units","status":409,"bytes":128,"duración":"5.874865ms","duración_ms":5,"trace_id":"a643595be1389ed6d3ffd28057b98ff0"}
api-1  | {"time":"2026-09-14T03:36:59.432481028Z","level":"INFO","msg":"http request","request_id":"65d7abaa-681b-4c2a-af4d-adb9c3da3c36","method":"POST","path":"/api/v1/units/410d665e-4acb-4c1e-a65c-49246d97ca60/resources","status":409,"bytes":128,"duración":"6.636695ms","duración_ms":6,"trace_id":"2cea2c552a23e5d74f659c3cf44bf9f5"}
api-1  | {"time":"2026-09-14T03:36:59.470198425Z","level":"INFO","msg":"http request","request_id":"b48b3074-76dc-4382-a9ea-c286311788fc","method":"DELETE","path":"/api/v1/resources/5dba2168-b329-464a-9bbe-d395d996f7c2","status":409,"bytes":128,"duración":"7.789269ms","duración_ms":7,"trace_id":"17fe9529397eb641697be484e2a30fb5"}
api-1  | {"time":"2026-09-14T03:36:59.517319696Z","level":"INFO","msg":"http request","request_id":"ecb4fa01-f220-4acd-abb3-0b2c2e07e702","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/publish","status":409,"bytes":93,"duración":"2.736093ms","duración_ms":2,"trace_id":"5a42b2b52430109befb869c6433e9b6d"}
api-1  | {"time":"2026-09-14T03:36:59.562105045Z","level":"INFO","msg":"http request","request_id":"5414a108-b4ff-42ab-9f50-fa0e15cfdb41","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/unpublish","status":200,"bytes":283,"duración":"6.799122ms","duración_ms":6,"trace_id":"9b5110227c9704a9e7ed9564d9ef44e2"}
api-1  | {"time":"2026-09-14T03:36:59.611457462Z","level":"INFO","msg":"http request","request_id":"d0ccceca-8fe5-4583-940c-202c8d2a3266","method":"PUT","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32","status":200,"bytes":265,"duración":"10.915044ms","duración_ms":10,"trace_id":"6820643180d4a48e85f41ea4a389462d"}
api-1  | {"time":"2026-09-14T03:36:59.66480816Z","level":"INFO","msg":"http request","request_id":"3d84779f-f87a-4c0b-a9b3-d8a5d821423c","method":"POST","path":"/api/v1/courses/00f826ec-4340-4422-94ae-c07fa85ced32/publish","status":200,"bytes":263,"duración":"13.190501ms","duración_ms":13,"trace_id":"34ccffb451cfd8b4e8a35cb6d8dbb30a"}
api-1  | {"time":"2026-09-14T03:36:59.766387966Z","level":"INFO","msg":"http request","request_id":"868eb141-cca0-413e-9b90-812561f179d7","method":"POST","path":"/api/v1/auth/login","status":200,"bytes":273,"duración":"58.777597ms","duración_ms":58,"trace_id":"9ac3683a650e1c0e4f427bc57f181854"}
